,Street Address,Bed,Bath,Listing Area,Certificate,Jakarta Division,Price
16089,Permata Buana,4,3,260,SHM - Sertifikat Hak Milik,WEST,4800000000.0
503,Senen,2,2,53,SHM - Sertifikat Hak Milik,CENTRAL,770000000.0
7043,Matraman,2,1,85,SHM - Sertifikat Hak Milik,EAST,1900000000.0
5467,Cilandak,4,4,180,SHM - Sertifikat Hak Milik,SOUTH,2800000000.0
17790,Duren Sawit,5,4,250,SHM - Sertifikat Hak Milik,EAST,3200000000.0
21621,Kayu Putih,5,4,250,SHM - Sertifikat Hak Milik,EAST,3900000000.0
2867,Tomang,3,3,150,SHM - Sertifikat Hak Milik,WEST,2500000000.0
3742,Tanjung Duren,4,3,125,SHM - Sertifikat Hak Milik,WEST,2100000000.0
17592,Pondok Bambu,3,3,250,SHGB - Hak Guna Bangunan,EAST,2100000000.0
16935,Kebon Jeruk,3,3,100,SHM - Sertifikat Hak Milik,WEST,1500000000.0
4182,Bintaro,3,3,190,SHM - Sertifikat Hak Milik,SOUTH,2500000000.0
19979,Daan Mogot,4,4,130,SHGB - Hak Guna Bangunan,WEST,2550000000.0
20974,Pondok Kopi,2,2,100,SHM - Sertifikat Hak Milik,EAST,950000000.0
13452,Kayu Putih,5,3,160,SHM - Sertifikat Hak Milik,EAST,2190000000.0
14810,Pantai Indah Kapuk,3,3,112,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,4000000000.0
11876,Meruya,4,3,150,SHM - Sertifikat Hak Milik,WEST,2400000000.0
6757,Cawang,2,1,55,SHM - Sertifikat Hak Milik,EAST,595000018.0
16561,Kebon Jeruk,5,4,310,SHM - Sertifikat Hak Milik,WEST,3750000000.0
8583,Pantai Indah Kapuk,4,4,160,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,4500000000.0
21361,Kramat Jati,2,2,50,SHM - Sertifikat Hak Milik,EAST,465000000.0
4742,Kebagusan,5,4,210,SHM - Sertifikat Hak Milik,SOUTH,3000000000.0
7688,Matraman,2,2,58,SHM - Sertifikat Hak Milik,EAST,796620000.0
6071,Rawamangun,3,3,67,SHM - Sertifikat Hak Milik,EAST,1477000000.0
14380,Muara Karang,5,4,360,SHM - Sertifikat Hak Milik,NORTH,3800000000.0
18592,Kelapa Gading,4,4,200,SHM - Sertifikat Hak Milik,NORTH,5100000000.0
1768,Sawah Besar,2,1,168,SHM - Sertifikat Hak Milik,CENTRAL,3700000000.0
12918,Cibubur,2,1,30,SHGB - Hak Guna Bangunan,EAST,250000000.0
18760,Kelapa Gading,3,2,80,SHM - Sertifikat Hak Milik,NORTH,1890000000.0
14838,Pantai Indah Kapuk,3,2,160,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,4400000000.0
18743,Pantai Indah Kapuk,3,3,200,SHM - Sertifikat Hak Milik,NORTH,4350000000.0
11468,Tambora,4,3,324,SHM - Sertifikat Hak Milik,WEST,3500000000.0
18036,Cakung,4,2,90,SHM - Sertifikat Hak Milik,EAST,1650000000.0
13511,Cijantung,3,2,56,SHM - Sertifikat Hak Milik,EAST,755000000.0
6283,Jakarta Garden City/JGC,4,3,75,SHM - Sertifikat Hak Milik,EAST,1650000000.0
8808,Pantai Indah Kapuk,4,4,224,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,6500000000.0
5927,Pondok Indah,5,4,177,SHM - Sertifikat Hak Milik,SOUTH,6000000000.0
6027,Matraman,2,2,58,SHM - Sertifikat Hak Milik,EAST,769620000.0
15417,Sawah Besar,3,2,257,SHM - Sertifikat Hak Milik,CENTRAL,5000000000.0
16919,Taman Ratu,3,2,120,SHM - Sertifikat Hak Milik,WEST,2700000000.0
17862,Cibubur,2,1,60,SHM - Sertifikat Hak Milik,EAST,550000000.0
4409,Ciganjur,4,4,145,SHM - Sertifikat Hak Milik,SOUTH,1800000000.0
8243,Pantai Indah Kapuk,4,4,120,SHM - Sertifikat Hak Milik,NORTH,5950000000.0
476,Bendungan Hilir,3,3,84,SHM - Sertifikat Hak Milik,CENTRAL,3000000000.0
19629,Kemayoran,5,3,200,SHM - Sertifikat Hak Milik,CENTRAL,2000000000.0
21809,Cibubur,3,3,110,SHM - Sertifikat Hak Milik,EAST,1200000000.0
15696,Gambir,3,2,290,PPJB - Perjanjian Pengikatan Jual Beli,CENTRAL,5800000000.0
15620,Menteng,3,3,118,SHM - Sertifikat Hak Milik,CENTRAL,2512389999.0
2379,Tanjung Duren,3,3,180,SHM - Sertifikat Hak Milik,WEST,1600000000.0
2173,Meruya,3,2,180,SHM - Sertifikat Hak Milik,WEST,2500000000.0
6180,Cibubur,4,3,181,Sertifikat Belum Pecah,EAST,3500000000.0
21220,Duren Sawit,2,1,40,SHGB - Hak Guna Bangunan,EAST,650000000.0
13790,Cilangkap,4,4,127,SHM - Sertifikat Hak Milik,EAST,1590000000.0
15046,Sunter,5,3,300,SHM - Sertifikat Hak Milik,NORTH,2700000000.0
21778,Cakung,2,1,45,SHM - Sertifikat Hak Milik,EAST,850000000.0
203,Glodok,2,2,53,SHM - Sertifikat Hak Milik,CENTRAL,1512391230.0
22639,Kelapa Gading,4,3,160,SHM - Sertifikat Hak Milik,NORTH,2600000000.0
17883,Cakung,4,3,100,SHM - Sertifikat Hak Milik,EAST,1500000000.0
146,Kemayoran,4,3,208,SHM - Sertifikat Hak Milik,CENTRAL,6312389000.0
11671,Taman Palem,3,2,75,SHM - Sertifikat Hak Milik,WEST,2000000000.0
16765,Pegadungan,3,2,120,SHM - Sertifikat Hak Milik,WEST,1800000000.0
18489,Pantai Indah Kapuk,3,3,170,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,3900000000.0
6601,Otista,4,2,300,SHM - Sertifikat Hak Milik,EAST,4500000000.0
8304,Sunter,3,4,300,SHM - Sertifikat Hak Milik,NORTH,5800000000.0
2110,Tanjung Duren,3,2,220,SHM - Sertifikat Hak Milik,WEST,3150000000.0
3964,Tanjung Duren,3,2,135,SHM - Sertifikat Hak Milik,WEST,1400000000.0
5452,Tebet Timur,4,4,200,SHM - Sertifikat Hak Milik,SOUTH,3500000000.0
17321,Cibubur,3,3,127,SHM - Sertifikat Hak Milik,EAST,1690000000.0
11488,Jl. Daan Mogot Raya,3,2,150,SHM - Sertifikat Hak Milik,WEST,2300000000.0
2072,Tomang,3,2,254,SHM - Sertifikat Hak Milik,WEST,4900000000.0
12743,Cakung,3,3,115,PPJB - Perjanjian Pengikatan Jual Beli,EAST,2900000000.0
11775,Kembangan,4,2,290,SHM - Sertifikat Hak Milik,WEST,3450000000.0
165,Gunung Sahari,5,4,208,SHM - Sertifikat Hak Milik,CENTRAL,6200000000.0
12654,Pondok Gede,4,2,100,SHM - Sertifikat Hak Milik,EAST,1400000000.0
2284,Kembangan,4,3,120,SHM - Sertifikat Hak Milik,WEST,2450000000.0
2727,Jelambar,4,4,204,SHM - Sertifikat Hak Milik,WEST,3500000000.0
1299,Cempaka Putih,5,3,174,SHM - Sertifikat Hak Milik,CENTRAL,3200000000.0
3449,Jelambar,2,3,180,SHM - Sertifikat Hak Milik,WEST,2050000000.0
8542,Sunter,3,3,150,SHM - Sertifikat Hak Milik,NORTH,2700000000.0
4382,Cilandak,4,3,312,SHM - Sertifikat Hak Milik,SOUTH,6820000000.0
20512,Kali Deres,2,2,50,SHM - Sertifikat Hak Milik,WEST,1350000000.0
13768,Duren Sawit,5,2,258,SHM - Sertifikat Hak Milik,EAST,6500000000.0
16291,Grogol Petamburan,3,2,160,SHM - Sertifikat Hak Milik,WEST,2400000000.0
6171,Cipayung,3,2,270,SHM - Sertifikat Hak Milik,EAST,3500000000.0
12183,Cengkareng,3,3,180,SHM - Sertifikat Hak Milik,WEST,2500000000.0
15097,Pantai Indah Kapuk,2,1,36,Sertifikat Belum Pecah,NORTH,440000000.0
21573,Rawamangun,4,4,155,SHM - Sertifikat Hak Milik,EAST,3550000000.0
1763,Sawah Besar,2,1,36,AJB - Akta Jual Beli,CENTRAL,170000000.0
8921,Pantai Indah Kapuk,2,2,96,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,2703000000.0
13569,Cibubur,2,1,68,SHM - Sertifikat Hak Milik,EAST,198003000.0
8321,Kamal,3,3,170,Sertifikat Belum Pecah,NORTH,4400000000.0
3395,Jelambar,4,4,218,SHM - Sertifikat Hak Milik,WEST,4200000000.0
11549,Kebon Jeruk,2,2,70,SHM - Sertifikat Hak Milik,WEST,1050000000.0
21123,Cakung,4,3,135,PPJB - Perjanjian Pengikatan Jual Beli,EAST,3800000000.0
6726,Kota Wisata Cibubur,4,3,200,SHM - Sertifikat Hak Milik,EAST,2500000000.0
9350,Kelapa Gading,2,2,90,SHM - Sertifikat Hak Milik,NORTH,1500000000.0
17802,Pondok Kelapa,4,2,150,SHM - Sertifikat Hak Milik,EAST,2000000000.0
4520,Pesanggrahan,5,3,300,SHM - Sertifikat Hak Milik,SOUTH,3500000000.0
12050,Permata Buana,4,2,200,SHM - Sertifikat Hak Milik,WEST,4500000000.0
6610,Jatinegara,2,1,50,SHM - Sertifikat Hak Milik,EAST,670000000.0
20680,Puri Mansion,3,3,240,SHM - Sertifikat Hak Milik,WEST,4050000000.0
18725,Pantai Indah Kapuk,4,3,150,SHM - Sertifikat Hak Milik,NORTH,5500000000.0
12198,Tanjung Duren,4,1,189,SHM - Sertifikat Hak Milik,WEST,5000000000.0
14717,Koja,2,1,55,SHM - Sertifikat Hak Milik,NORTH,1300000000.0
16115,Cengkareng,4,4,300,SHM - Sertifikat Hak Milik,WEST,5700000000.0
3320,Taman Surya,4,2,150,SHM - Sertifikat Hak Milik,WEST,1650000000.0
16592,Tanjung Duren,3,3,180,SHM - Sertifikat Hak Milik,WEST,1100000000.0
5129,Jagakarsa,3,3,130,SHM - Sertifikat Hak Milik,SOUTH,1550000000.0
4732,Lenteng Agung,4,3,90,None,SOUTH,1790000000.0
12231,Jelambar,4,4,188,SHM - Sertifikat Hak Milik,WEST,2900000000.0
14671,Pantai Indah Kapuk,4,3,250,SHM - Sertifikat Hak Milik,NORTH,5000000000.0
6244,Cipayung,3,2,70,SHM - Sertifikat Hak Milik,EAST,749000000.0
16525,Duri Kepa,4,4,154,SHM - Sertifikat Hak Milik,WEST,3500000000.0
3868,Mangga Besar,3,3,257,SHM - Sertifikat Hak Milik,WEST,5000000000.0
10504,Bendungan Hilir,4,2,160,SHM - Sertifikat Hak Milik,CENTRAL,4500000000.0
18195,Ciracas,3,2,70,SHM - Sertifikat Hak Milik,EAST,800000000.0
7275,Cakung,3,2,150,SHM - Sertifikat Hak Milik,EAST,2700000000.0
16563,Jl. Kembangan Raya,4,3,240,SHM - Sertifikat Hak Milik,WEST,4500000000.0
14836,Kapuk Muara,4,4,305,SHM - Sertifikat Hak Milik,NORTH,7000000000.0
20676,Kali Deres,4,2,160,SHM - Sertifikat Hak Milik,WEST,2900000000.0
7753,Jakarta Garden City/JGC,3,4,200,SHM - Sertifikat Hak Milik,EAST,2975000000.0
2282,Cengkareng,5,4,230,SHM - Sertifikat Hak Milik,WEST,6000000000.0
9195,Sunter,5,4,262,SHM - Sertifikat Hak Milik,NORTH,6900000000.0
3473,Tanjung Duren,3,3,108,SHM - Sertifikat Hak Milik,WEST,1600000000.0
18263,Rawamangun,5,4,186,SHM - Sertifikat Hak Milik,EAST,2900000000.0
11636,Cengkareng,4,3,120,SHGB - Hak Guna Bangunan,WEST,2200000000.0
12937,Cibubur,2,1,90,SHGB - Hak Guna Bangunan,EAST,890000000.0
10427,Tanah Abang,4,2,90,SHM - Sertifikat Hak Milik,CENTRAL,6300000000.0
2981,Jelambar,3,2,152,SHM - Sertifikat Hak Milik,WEST,3350000000.0
9980,Gambir,2,2,153,SHM - Sertifikat Hak Milik,CENTRAL,2900000000.0
10919,Kepa Duri,5,3,107,SHM - Sertifikat Hak Milik,WEST,1750000000.0
7358,Pulomas,2,1,180,SHM - Sertifikat Hak Milik,EAST,5500000000.0
11280,Cengkareng,4,3,270,SHM - Sertifikat Hak Milik,WEST,3500000000.0
4015,Ulujami,3,2,63,SHM - Sertifikat Hak Milik,SOUTH,628000000.0
12582,Cakung,3,2,68,SHM - Sertifikat Hak Milik,EAST,930254000.0
21692,Cilangkap,2,2,60,SHM - Sertifikat Hak Milik,EAST,625000000.0
4123,Jagakarsa,4,4,140,SHM - Sertifikat Hak Milik,SOUTH,1550000000.0
7528,Cipayung,2,2,82,SHM - Sertifikat Hak Milik,EAST,659000000.0
1890,Kemayoran,4,3,300,SHGB - Hak Guna Bangunan,CENTRAL,5100000000.0
17504,Cipinang,4,3,110,SHM - Sertifikat Hak Milik,EAST,1850000000.0
21248,Duren Sawit,4,4,200,SHM - Sertifikat Hak Milik,EAST,2350000000.0
10906,Jelambar,4,2,138,SHM - Sertifikat Hak Milik,WEST,1750000000.0
21144,Cijantung,4,2,180,SHM - Sertifikat Hak Milik,EAST,1500000000.0
6612,Lubang Buaya,2,2,130,SHM - Sertifikat Hak Milik,EAST,1800000000.0
21205,Condet,4,2,90,SHM - Sertifikat Hak Milik,EAST,1500000000.0
7117,Ciracas,2,2,38,SHM - Sertifikat Hak Milik,EAST,526000000.0
16580,Meruya,5,4,180,SHM - Sertifikat Hak Milik,WEST,2300000000.0
13497,Pondok Kelapa,3,2,80,SHM - Sertifikat Hak Milik,EAST,800000000.0
22569,Semper,4,2,120,SHM - Sertifikat Hak Milik,NORTH,1275000000.0
13813,Pondok Kelapa,5,3,216,SHM - Sertifikat Hak Milik,EAST,2200000000.0
9100,Pantai Indah Kapuk,4,3,200,SHM - Sertifikat Hak Milik,NORTH,3000000000.0
4921,Jagakarsa,3,3,170,SHM - Sertifikat Hak Milik,SOUTH,2200000000.0
11026,Kembangan,2,1,120,SHM - Sertifikat Hak Milik,WEST,2400000000.0
2383,Kedoya,4,4,150,SHM - Sertifikat Hak Milik,WEST,3000000000.0
841,Salemba,2,2,71,SHM - Sertifikat Hak Milik,CENTRAL,835000000.0
198,Gunung Sahari,5,4,161,SHM - Sertifikat Hak Milik,CENTRAL,2650000000.0
18742,Kelapa Gading,5,4,200,SHM - Sertifikat Hak Milik,NORTH,3750000000.0
17301,Kayu Putih,5,4,220,SHM - Sertifikat Hak Milik,EAST,4000000000.0
14473,Pantai Indah Kapuk,3,3,128,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,3075000000.0
6343,Cakung,3,2,79,SHGB - Hak Guna Bangunan,EAST,2574090000.0
17547,Duren Sawit,3,2,200,SHM - Sertifikat Hak Milik,EAST,799000006.0
16825,Jelambar,3,3,160,SHM - Sertifikat Hak Milik,WEST,2700000000.0
7265,Cililitan,5,4,191,SHM - Sertifikat Hak Milik,EAST,5000000000.0
646,Kemayoran,2,1,50,SHM - Sertifikat Hak Milik,CENTRAL,4000000000.0
21933,Pantai Indah Kapuk,4,4,200,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,5000000000.0
2787,Duri Kosambi,3,3,130,SHM - Sertifikat Hak Milik,WEST,2450000000.0
8282,Pantai Mutiara,4,3,300,SHM - Sertifikat Hak Milik,NORTH,4500000000.0
16943,Kebon Jeruk,3,2,50,SHM - Sertifikat Hak Milik,WEST,645000055.0
3611,Taman Semanan Indah,3,3,185,SHM - Sertifikat Hak Milik,WEST,2350000000.0
19641,Kemayoran,3,3,116,SHM - Sertifikat Hak Milik,CENTRAL,3900000000.0
3572,Cengkareng,5,4,300,SHM - Sertifikat Hak Milik,WEST,3900000000.0
20711,Kali Deres,4,1,61,Sertifikat Belum Pecah,WEST,1900000000.0
14425,Penjaringan,4,4,209,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,5300000000.0
10786,Cempaka Putih,5,2,70,SHM - Sertifikat Hak Milik,CENTRAL,3500000000.0
4535,Jagakarsa,4,3,140,SHM - Sertifikat Hak Milik,SOUTH,1600000000.0
172,Menteng,4,2,200,SHM - Sertifikat Hak Milik,CENTRAL,2500000000.0
2006,Sunrise,3,3,200,SHM - Sertifikat Hak Milik,WEST,3600000000.0
9662,Kelapa Gading,4,4,98,SHM - Sertifikat Hak Milik,NORTH,2400000000.0
20163,Jl. Kembangan Raya,3,3,220,SHM - Sertifikat Hak Milik,WEST,4750000000.0
1910,Petojo Utara,4,3,350,SHM - Sertifikat Hak Milik,CENTRAL,6250000000.0
21295,Kayu Putih,4,3,350,SHM - Sertifikat Hak Milik,EAST,4500000000.0
21094,Kayu Putih,3,2,120,SHM - Sertifikat Hak Milik,EAST,2200000000.0
14001,Penjaringan,3,2,270,SHM - Sertifikat Hak Milik,NORTH,2700000000.0
13275,Jakarta Garden City/JGC,3,2,90,SHM - Sertifikat Hak Milik,EAST,2200000000.0
17539,Duren Sawit,2,1,45,SHM - Sertifikat Hak Milik,EAST,625000006.0
20221,Cengkareng,3,2,98,SHM - Sertifikat Hak Milik,WEST,1550000000.0
13835,Cibubur,3,2,70,SHM - Sertifikat Hak Milik,EAST,1050000000.0
14919,Muara Karang,3,3,200,SHM - Sertifikat Hak Milik,NORTH,4350000000.0
18802,Pantai Indah Kapuk,3,3,300,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,6000000000.0
10210,Kemayoran,5,3,198,SHM - Sertifikat Hak Milik,CENTRAL,2550000000.0
18310,Pulomas,4,3,250,SHM - Sertifikat Hak Milik,EAST,3900000000.0
7296,Rawamangun,4,4,198,SHM - Sertifikat Hak Milik,EAST,4500000000.0
13698,Cakung,2,2,60,SHM - Sertifikat Hak Milik,EAST,1250000000.0
13751,Kalimalang,3,2,82,SHM - Sertifikat Hak Milik,EAST,800000000.0
6525,Pasar Rebo,3,2,75,SHM - Sertifikat Hak Milik,EAST,1200000000.0
6825,Cijantung,3,2,85,SHM - Sertifikat Hak Milik,EAST,920000000.0
16771,Citra Garden,3,3,210,SHM - Sertifikat Hak Milik,WEST,4200000000.0
5,Kemayoran,2,2,36,SHM - Sertifikat Hak Milik,CENTRAL,400000000.0
15613,Cempaka Putih,4,4,164,SHM - Sertifikat Hak Milik,CENTRAL,3500000000.0
12936,Jatinegara,4,3,350,SHM - Sertifikat Hak Milik,EAST,3600000000.0
7401,Pondok Kelapa,4,4,160,SHM - Sertifikat Hak Milik,EAST,2200000000.0
3619,Kali Deres,4,3,150,SHM - Sertifikat Hak Milik,WEST,2500000000.0
12053,Citra Garden,3,3,240,SHM - Sertifikat Hak Milik,WEST,5000000000.0
21016,Matraman,3,1,96,AJB - Akta Jual Beli,EAST,975000000.0
2541,Green Ville,3,2,240,SHM - Sertifikat Hak Milik,WEST,3500000000.0
7463,Pondok Kelapa,5,2,105,SHM - Sertifikat Hak Milik,EAST,950000000.0
16657,Jelambar,3,3,270,SHM - Sertifikat Hak Milik,WEST,3100000000.0
4040,Pesanggrahan,4,3,335,SHM - Sertifikat Hak Milik,SOUTH,4250000000.0
2053,Kembangan,3,3,98,SHM - Sertifikat Hak Milik,WEST,2000000000.0
13494,Condet,3,2,120,SHM - Sertifikat Hak Milik,EAST,1700000000.0
6885,Cakung,4,3,160,SHM - Sertifikat Hak Milik,EAST,3200000000.0
4762,Pejaten,4,4,180,SHM - Sertifikat Hak Milik,SOUTH,3200000000.0
18278,Duren Sawit,3,2,130,SHM - Sertifikat Hak Milik,EAST,2500000000.0
3917,Kembangan,4,3,343,SHM - Sertifikat Hak Milik,WEST,5750000000.0
2828,Tanjung Duren,3,2,88,SHM - Sertifikat Hak Milik,WEST,1950000000.0
3613,Cengkareng,2,1,120,SHM - Sertifikat Hak Milik,WEST,850000000.0
11223,Tomang,4,4,152,SHM - Sertifikat Hak Milik,WEST,2600000000.0
21983,Kelapa Gading,5,4,166,SHM - Sertifikat Hak Milik,NORTH,3700000000.0
20557,Kemanggisan,5,2,250,SHM - Sertifikat Hak Milik,WEST,4500000000.0
19260,Sunter,2,2,88,SHM - Sertifikat Hak Milik,NORTH,1550000000.0
11013,Cengkareng,3,4,192,SHM - Sertifikat Hak Milik,WEST,3900000000.0
9947,Senen,3,3,61,SHM - Sertifikat Hak Milik,CENTRAL,798800000.0
14896,Kelapa Gading,3,2,102,SHM - Sertifikat Hak Milik,NORTH,2300000000.0
12307,Meruya,5,3,150,SHM - Sertifikat Hak Milik,WEST,5200000000.0
21153,Pondok Kopi,2,2,90,SHM - Sertifikat Hak Milik,EAST,950000000.0
16991,Jelambar,2,3,200,SHM - Sertifikat Hak Milik,WEST,4000000000.0
20690,Permata Buana,4,4,200,SHM - Sertifikat Hak Milik,WEST,4800000000.0
8985,Pantai Indah Kapuk,4,4,350,SHM - Sertifikat Hak Milik,NORTH,6900000000.0
7918,Pulomas,3,3,330,SHM - Sertifikat Hak Milik,EAST,4600000000.0
7161,Pondok Ranggon,2,2,50,SHGB - Hak Guna Bangunan,EAST,800000000.0
2157,Kembangan,4,4,227,SHM - Sertifikat Hak Milik,WEST,5500000000.0
15882,Petojo Utara,3,2,132,SHM - Sertifikat Hak Milik,CENTRAL,2900123998.0
3796,Daan Mogot,5,3,200,SHM - Sertifikat Hak Milik,WEST,3000000000.0
20372,Jelambar,2,2,165,SHM - Sertifikat Hak Milik,WEST,1300000000.0
6327,Cipinang,4,3,228,SHM - Sertifikat Hak Milik,EAST,2400000000.0
11827,Kebon Jeruk,2,2,14,SHM - Sertifikat Hak Milik,WEST,892156000.0
17831,Rawamangun,4,3,100,SHM - Sertifikat Hak Milik,EAST,2100000000.0
6874,Ciracas,2,2,38,SHM - Sertifikat Hak Milik,EAST,400000000.0
9705,Pluit,3,4,300,SHM - Sertifikat Hak Milik,NORTH,6750000000.0
9876,Pantai Indah Kapuk,2,2,90,SHM - Sertifikat Hak Milik,NORTH,1800000000.0
14816,Penjaringan,4,3,300,SHM - Sertifikat Hak Milik,NORTH,4300000000.0
13988,Sunter,4,3,216,SHM - Sertifikat Hak Milik,NORTH,2800000000.0
12141,Cengkareng,3,2,120,SHM - Sertifikat Hak Milik,WEST,2500000000.0
17511,Cakung,4,3,250,SHM - Sertifikat Hak Milik,EAST,3900000000.0
4333,Tebet,5,4,200,SHM - Sertifikat Hak Milik,SOUTH,7000000000.0
19806,Bendungan Hilir,5,4,100,SHM - Sertifikat Hak Milik,CENTRAL,4000000000.0
6968,Pondok Bambu,3,4,300,SHM - Sertifikat Hak Milik,EAST,4500000000.0
18932,Tanjung Priok,4,3,240,SHM - Sertifikat Hak Milik,NORTH,2700000000.0
5878,Jagakarsa,4,3,200,SHM - Sertifikat Hak Milik,SOUTH,3000000000.0
2685,Kembangan,4,3,230,SHM - Sertifikat Hak Milik,WEST,2950000000.0
18976,Pantai Indah Kapuk,4,3,210,SHM - Sertifikat Hak Milik,NORTH,4350000000.0
18669,Kelapa Gading,4,3,290,SHM - Sertifikat Hak Milik,NORTH,5950000000.0
19874,Cengkareng,3,4,95,SHM - Sertifikat Hak Milik,WEST,1900000000.0
6247,Kuningan,5,4,250,SHM - Sertifikat Hak Milik,EAST,2500000000.0
11281,Cengkareng,4,3,238,Sertifikat Belum Pecah,WEST,6000000000.0
19104,Pantai Indah Kapuk,3,3,146,SHM - Sertifikat Hak Milik,NORTH,3500000000.0
17520,Cipayung,4,3,150,SHM - Sertifikat Hak Milik,EAST,1300000000.0
7003,Halim,4,3,191,SHM - Sertifikat Hak Milik,EAST,4300000000.0
12905,Pulo Gebang,4,4,110,SHM - Sertifikat Hak Milik,EAST,2100000000.0
19409,Kelapa Gading,5,4,160,SHM - Sertifikat Hak Milik,NORTH,4700000000.0
6392,Cipayung,2,2,55,SHM - Sertifikat Hak Milik,EAST,675000000.0
321,Gunung Sahari,4,4,260,SHM - Sertifikat Hak Milik,CENTRAL,5500000000.0
2715,Duri Kepa,3,4,108,SHM - Sertifikat Hak Milik,WEST,1499000000.0
16599,Taman Sari,2,2,235,SHM - Sertifikat Hak Milik,WEST,4500000000.0
16955,Permata Buana,5,4,350,SHM - Sertifikat Hak Milik,WEST,6500000000.0
6772,Cilangkap,3,3,165,SHM - Sertifikat Hak Milik,EAST,1690000000.0
11660,Kedoya,4,4,120,SHM - Sertifikat Hak Milik,WEST,2717000000.0
16264,Sunrise,4,1,117,SHM - Sertifikat Hak Milik,WEST,1670000000.0
18438,Pantai Indah Kapuk,5,4,173,SHM - Sertifikat Hak Milik,NORTH,6500000000.0
22254,Sunter,5,2,144,SHM - Sertifikat Hak Milik,NORTH,3150000000.0
14070,Kelapa Gading,2,1,102,SHM - Sertifikat Hak Milik,NORTH,2250000000.0
18805,Pantai Indah Kapuk,3,3,150,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,2100000000.0
3396,Jelambar,3,3,248,SHM - Sertifikat Hak Milik,WEST,2800000000.0
1524,Sawah Besar,2,1,95,SHM - Sertifikat Hak Milik,CENTRAL,2150000000.0
3739,Tanjung Duren,3,3,150,SHM - Sertifikat Hak Milik,WEST,3200000000.0
17856,Cakung,4,4,150,SHM - Sertifikat Hak Milik,EAST,2000000000.0
6405,Cakung,5,4,200,PPJB - Perjanjian Pengikatan Jual Beli,EAST,5100000000.0
13137,Cakung,2,1,45,SHM - Sertifikat Hak Milik,EAST,425000000.0
456,Sudirman,2,1,36,SHM - Sertifikat Hak Milik,CENTRAL,600000000.0
13606,Cipayung,2,1,40,SHM - Sertifikat Hak Milik,EAST,450000000.0
3406,Daan Mogot,4,4,260,SHM - Sertifikat Hak Milik,WEST,5300000000.0
85,Cempaka Putih,4,3,78,SHM - Sertifikat Hak Milik,CENTRAL,2600000000.0
18104,Cakung,3,2,150,SHM - Sertifikat Hak Milik,EAST,1625000000.0
12361,Jagakarsa,3,3,120,SHM - Sertifikat Hak Milik,SOUTH,1375000000.0
18026,Makasar,3,2,90,SHM - Sertifikat Hak Milik,EAST,1800000000.0
20848,Jakarta Garden City/JGC,2,2,63,PPJB - Perjanjian Pengikatan Jual Beli,EAST,1650000000.0
11038,Daan Mogot,3,3,140,SHM - Sertifikat Hak Milik,WEST,3100000000.0
21096,Cakung,3,2,75,AJB - Akta Jual Beli,EAST,1750000000.0
12758,Cipayung,4,3,150,SHM - Sertifikat Hak Milik,EAST,2500000000.0
21786,Condet,2,1,36,SHM - Sertifikat Hak Milik,EAST,370000000.0
8299,Pantai Indah Kapuk,3,3,150,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,5200000000.0
17764,Cakung,3,2,200,SHM - Sertifikat Hak Milik,EAST,799000000.0
4744,Jagakarsa,4,4,168,SHM - Sertifikat Hak Milik,SOUTH,2900000000.0
6706,Pondok Kopi,4,2,200,SHM - Sertifikat Hak Milik,EAST,3999000000.0
11861,Kebon Jeruk,4,3,350,SHM - Sertifikat Hak Milik,WEST,6000000000.0
15600,Johar Baru,2,1,126,SHM - Sertifikat Hak Milik,CENTRAL,2100000000.0
3242,Permata Buana,3,2,180,SHM - Sertifikat Hak Milik,WEST,4700000000.0
15919,Cempaka Putih,5,3,210,SHM - Sertifikat Hak Milik,CENTRAL,3500000000.0
16747,Kali Deres,3,2,120,SHM - Sertifikat Hak Milik,WEST,1550000000.0
10274,Johar Baru,2,1,36,SHM - Sertifikat Hak Milik,CENTRAL,270000000.0
20562,Joglo,4,3,200,SHM - Sertifikat Hak Milik,WEST,6500000000.0
15142,Koja,4,3,100,SHM - Sertifikat Hak Milik,NORTH,2100000000.0
17938,Jakarta Garden City/JGC,3,2,63,SHM - Sertifikat Hak Milik,EAST,2000000000.0
6143,Cakung,5,3,235,SHGB - Hak Guna Bangunan,EAST,2350000000.0
11226,Duri Kosambi,4,4,130,SHM - Sertifikat Hak Milik,WEST,2547000000.0
921,Salemba,3,1,50,SHM - Sertifikat Hak Milik,CENTRAL,1000000000.0
12580,Pondok Kelapa,5,4,140,SHM - Sertifikat Hak Milik,EAST,2200000000.0
4483,Pancoran,5,3,200,SHM - Sertifikat Hak Milik,SOUTH,2700000000.0
