,Street Address,Bed,Bath,Listing Area,Certificate,Jakarta Division,Price
19017,Pantai Indah Kapuk,4,4,132,SHGB - Hak Guna Bangunan,NORTH,3600000000.0
19392,Kelapa Gading,4,4,157,SHM - Sertifikat Hak Milik,NORTH,5500000000.0
8368,Tanjung Priok,2,2,42,SHM - Sertifikat Hak Milik,NORTH,579900000.0
6920,Rawamangun,4,4,155,SHM - Sertifikat Hak Milik,EAST,3500000000.0
18462,Pantai Indah Kapuk,3,3,150,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,4350000000.0
20540,Jl. Tanjung Pura,2,2,66,SHM - Sertifikat Hak Milik,WEST,1180000000.0
17343,Condet,4,3,80,SHM - Sertifikat Hak Milik,EAST,1750000000.0
6311,Condet,3,2,60,SHM - Sertifikat Hak Milik,EAST,380000000.0
11421,Taman Palem,3,3,120,SHM - Sertifikat Hak Milik,WEST,2500000000.0
20939,Pulomas,4,3,210,SHM - Sertifikat Hak Milik,EAST,4300000000.0
12817,Cakung,4,2,110,SHM - Sertifikat Hak Milik,EAST,1900000000.0
13685,Ciracas,4,2,103,SHM - Sertifikat Hak Milik,EAST,1280000000.0
15791,Bendungan Hilir,5,2,160,SHM - Sertifikat Hak Milik,CENTRAL,4500000000.0
20428,Taman Sari,2,1,37,SHM - Sertifikat Hak Milik,WEST,485000000.0
8569,Sunter,4,3,200,SHM - Sertifikat Hak Milik,NORTH,2950000000.0
12605,Jakarta Garden City/JGC,4,4,90,PPJB - Perjanjian Pengikatan Jual Beli,EAST,2100000000.0
11853,Kembangan,4,3,200,Sertifikat Belum Pecah,WEST,2000000000.0
2381,Tanjung Duren,3,3,99,SHM - Sertifikat Hak Milik,WEST,1350000000.0
22689,Kelapa Gading,3,2,106,SHM - Sertifikat Hak Milik,NORTH,2000000000.0
8586,Pantai Indah Kapuk,4,4,120,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,3400000000.0
5382,Jagakarsa,3,3,96,SHM - Sertifikat Hak Milik,SOUTH,1250000000.0
11315,Kebon Jeruk,3,4,193,SHM - Sertifikat Hak Milik,WEST,4936000000.0
21411,Ciracas,2,2,80,SHM - Sertifikat Hak Milik,EAST,850000000.0
149,Glodok,2,2,63,SHM - Sertifikat Hak Milik,CENTRAL,1457823898.0
1077,Senen,2,1,46,SHM - Sertifikat Hak Milik,CENTRAL,542000000.0
615,Cempaka Putih,5,2,224,SHM - Sertifikat Hak Milik,CENTRAL,2900000000.0
2843,. Jl. Lingkar Luar,4,3,280,SHGB - Hak Guna Bangunan,WEST,2750000000.0
8783,Kelapa Gading,4,4,225,SHM - Sertifikat Hak Milik,NORTH,2300000000.0
2129,Meruya,3,3,185,SHM - Sertifikat Hak Milik,WEST,2550000000.0
1935,Johar Baru,2,2,38,SHM - Sertifikat Hak Milik,CENTRAL,440000000.0
7794,Duren Sawit,5,3,225,SHM - Sertifikat Hak Milik,EAST,1950000000.0
12971,Cakung,5,4,180,SHM - Sertifikat Hak Milik,EAST,2200000000.0
16207,Cengkareng,2,2,75,SHM - Sertifikat Hak Milik,WEST,1700000000.0
21679,Cipinang,4,3,330,SHM - Sertifikat Hak Milik,EAST,4200000000.0
19175,Kelapa Gading,4,3,170,SHM - Sertifikat Hak Milik,NORTH,4250000000.0
8931,Sunter,4,3,200,SHM - Sertifikat Hak Milik,NORTH,3900000000.0
18596,Cilincing,2,2,54,SHM - Sertifikat Hak Milik,NORTH,897868800.0
7508,Duren Sawit,3,4,250,SHM - Sertifikat Hak Milik,EAST,2650000000.0
20989,Cibubur,3,2,160,SHM - Sertifikat Hak Milik,EAST,1500000000.0
