Price,Street Address,Bed,Bath,Listing Area,Certificate,Jakarta Division
850000000.0,Johar Baru,4,2,80,SHM - Sertifikat Hak Milik,CENTRAL
2500000000.0,Kemayoran,3,2,96,SHM - Sertifikat Hak Milik,CENTRAL
800000000.0,Menteng,3,2,69,SHM - Sertifikat Hak Milik,CENTRAL
400000000.0,Johar Baru,2,2,48,SHM - Sertifikat Hak Milik,CENTRAL
1375000000.0,Cempaka Putih,3,3,110,SHM - Sertifikat Hak Milik,CENTRAL
1000000000.0,Cempaka Putih,2,2,60,SHM - Sertifikat Hak Milik,CENTRAL
795000000.0,Kemayoran,2,2,62,SHM - Sertifikat Hak Milik,CENTRAL
600000000.0,Cempaka Putih,2,2,60,SHM - Sertifikat Hak Milik,CENTRAL
2800000000.0,Senen,3,3,130,SHM - Sertifikat Hak Milik,CENTRAL
3500000000.0,Cempaka Putih,3,3,157,SHM - Sertifikat Hak Milik,CENTRAL
1400000000.0,Cempaka Putih,3,2,100,SHM - Sertifikat Hak Milik,CENTRAL
4500000000.0,Cempaka Putih,4,3,190,SHM - Sertifikat Hak Milik,CENTRAL
1525000000.0,Cempaka Putih,2,2,68,SHM - Sertifikat Hak Milik,CENTRAL
3300000000.0,Cempaka Putih,4,3,155,SHM - Sertifikat Hak Milik,CENTRAL
2900000000.0,Kemayoran,3,2,132,SHM - Sertifikat Hak Milik,CENTRAL
1423890000.0,Glodok,2,2,63,SHM - Sertifikat Hak Milik,CENTRAL
3600000000.0,Kemayoran,3,2,190,SHM - Sertifikat Hak Milik,CENTRAL
1272368000.0,Cempaka Putih,3,3,88,SHM - Sertifikat Hak Milik,CENTRAL
2800000000.0,Cempaka Putih,4,2,160,SHM - Sertifikat Hak Milik,CENTRAL
1350000000.0,Sawah Besar,3,2,98,SHM - Sertifikat Hak Milik,CENTRAL
2650000000.0,Gunung Sahari,4,3,196,SHM - Sertifikat Hak Milik,CENTRAL
1350000000.0,Cempaka Putih,3,3,85,SHM - Sertifikat Hak Milik,CENTRAL
1750000000.0,Kemayoran,3,3,100,SHM - Sertifikat Hak Milik,CENTRAL
1690000000.0,Petojo Utara,2,3,130,SHM - Sertifikat Hak Milik,CENTRAL
550000000.0,Johar Baru,2,2,24,SHM - Sertifikat Hak Milik,CENTRAL
2912380000.0,Cempaka Putih,3,2,132,SHM - Sertifikat Hak Milik,CENTRAL
3000000000.0,Cideng,4,2,200,SHM - Sertifikat Hak Milik,CENTRAL
650000000.0,Bendungan Hilir,3,2,50,SHM - Sertifikat Hak Milik,CENTRAL
650000000.0,Bendungan Hilir,3,2,50,SHM - Sertifikat Hak Milik,CENTRAL
900000000.0,Petojo Utara,3,2,55,SHM - Sertifikat Hak Milik,CENTRAL
889999999.0,Cempaka Putih,3,2,120,SHM - Sertifikat Hak Milik,CENTRAL
3900000000.0,Sawah Besar,3,3,192,SHM - Sertifikat Hak Milik,CENTRAL
3500000000.0,Cempaka Putih,3,2,200,SHM - Sertifikat Hak Milik,CENTRAL
2500000000.0,Cempaka Putih,4,3,140,SHM - Sertifikat Hak Milik,CENTRAL
1350000000.0,Sawah Besar,3,2,98,SHM - Sertifikat Hak Milik,CENTRAL
3000000000.0,Gunung Sahari,4,3,220,SHM - Sertifikat Hak Milik,CENTRAL
1350000000.0,Sawah Besar,3,2,98,SHM - Sertifikat Hak Milik,CENTRAL
1875000000.0,Cempaka Putih,4,3,200,SHM - Sertifikat Hak Milik,CENTRAL
1275000000.0,Gunung Sahari,4,3,160,SHGB - Hak Guna Bangunan,CENTRAL
4000000000.0,Cempaka Putih,3,3,157,SHM - Sertifikat Hak Milik,CENTRAL
900000000.0,Kemayoran,3,2,55,SHM - Sertifikat Hak Milik,CENTRAL
2100000000.0,Cempaka Putih,4,3,135,SHM - Sertifikat Hak Milik,CENTRAL
1650000000.0,Cempaka Putih,3,3,120,SHM - Sertifikat Hak Milik,CENTRAL
4500000000.0,Johar Baru,2,3,227,SHM - Sertifikat Hak Milik,CENTRAL
